columna_pca,componente,correlacion_columna_score
sexo_desc__hombre,PC9,0.18562858469287435
sexo_desc__hombre,PC10,0.11194742637335871
sexo_desc__hombre,PC11,0.26462649743642847
sexo_desc__hombre,PC12,-0.045885825489462795
sexo_desc__hombre,PC13,-0.021337986314274793
sexo_desc__hombre,PC14,-0.008007588633363972
sexo_desc__hombre,PC15,-0.0011560551545756977
sexo_desc__hombre,PC16,-0.007847274235376555
sexo_desc__hombre,PC17,-0.030509933139041295
sexo_desc__hombre,PC18,0.08392212826488461
sexo_desc__hombre,PC19,-0.20701302887740913
sexo_desc__hombre,PC20,-0.17143263179235654
sexo_desc__hombre,PC21,-0.04357196509185853
sexo_desc__hombre,PC22,-0.02267790027250903
sexo_desc__hombre,PC23,-0.0495689255163175
sexo_desc__hombre,PC24,0.004994371563095075
sexo_desc__hombre,PC25,0.01037426682311407
sexo_desc__hombre,PC26,0.00519261219290898
sexo_desc__hombre,PC27,-0.002096329185013313
sexo_desc__hombre,PC28,-0.003994309806242792
sexo_desc__hombre,PC29,0.004980476824683934
sexo_desc__hombre,PC30,-0.001326808721292697
sexo_desc__hombre,PC31,0.00587721175315253
sexo_desc__hombre,PC32,-0.00774444324878505
sexo_desc__hombre,PC33,0.0003692756013691237
sexo_desc__hombre,PC34,0.0026696208044931823
sexo_desc__hombre,PC35,-0.0014520520277046033
sexo_desc__hombre,PC36,0.0015580486877004394
sexo_desc__hombre,PC37,-0.00013235134314885106
sexo_desc__hombre,PC38,0.0013002870331957459
sexo_desc__hombre,PC39,0.0004916292992215339
sexo_desc__hombre,PC40,0.000515470512883873
sexo_desc__hombre,PC41,0.00020338050380901138
sexo_desc__hombre,PC42,0.00026404691055597436
sexo_desc__hombre,PC43,2.3749200848150116e-05
sexo_desc__hombre,PC44,5.6287712143045636e-05
sexo_desc__hombre,PC45,0.00037276188964859496
sexo_desc__hombre,PC46,2.5415901798784346e-05
sexo_desc__hombre,PC47,-2.7435724943161115e-05
sexo_desc__hombre,PC48,6.9983123876151e-05
sexo_desc__hombre,PC49,0.00012243287889851992
sexo_desc__hombre,PC50,-5.615999110239263e-05
sexo_desc__hombre,PC51,3.641812535520967e-06
sexo_desc__hombre,PC52,-2.5359039598871575e-06
sexo_desc__hombre,PC53,-5.897334138990352e-06
sexo_desc__hombre,PC54,5.582866204704067e-06
sexo_desc__hombre,PC55,-1.284466469744869e-06
sexo_desc__hombre,PC56,-3.0925620319304215e-06
sexo_desc__hombre,PC57,-1.2358336335870953e-06
